artist,author,gernes,heart,name,star,view,words
None,Phantom Of The Moonlit Night,"Action,Adventure,Comedy,Fantasy,Harem,Seinen,Slice of Life", 122 ,Running Away From The Hero! (Remake),5,3643,6986
Shizuma Yoshinori (しずまよしのり),Shuu (秋),"Action,Adventure,Comedy,Fantasy,Harem,Romance,School Life,Adapted to Anime,Adapted to Manga,Magic,Mystery,Shounen,Drama,Web Novel", 6651 ,"Maou Gakuin no Futekigousha ~Shijou Saikyou no Maou no Shiso, Tensei shite Shison tachi no Gakkou e Kayou~",4.8,5976659,636903
Fuumi,Itsuki Mizuho,"Adventure,Comedy,Fantasy,Slice of Life,Supernatural", 130 ,The Novice Alchemist's Store,5,7512,30539
sime,cadet,"Action,Drama,Fantasy,Romance,School Life,Seinen,Web Novel", 1831 ,"Ori of the Dragon Chain - ""Heart"" in the mind",4.8,356937,85317
Moran,리샤,"Adventure,Comedy,Fantasy,Korean Novel,Psychological,Romance,Shoujo,Web Novel", 209 ,The baby raising a devil,4.9,33159,48322
Ryutetsu,Anikki Burazza,"Action,Adventure,Comedy,Fantasy,Harem,Martial Arts,Romance,School Life,Shounen", 4477 ,Breakthrough with the Forbidden Master,4.9,3169376,398108
Poko,Takehaya,"Action,Adventure,Comedy,Harem,Mecha,Slice of Life,Fantasy,Romance,Science Fiction,Supernatural,Mystery,School Life,Super Power,Magic,Adapted to Anime,Adapted to Drama CD,Adapted to Manga", 2660 ,Rokujouma no Shinryakusha!?,4.9,2105077,2324415
crescendo,살오른 곱등이,"Korean Novel,Magic,Reverse Harem,Romance,School Life,Shoujo,Web Novel", 598 ,Tôi Không Muốn Làm Bà Mối,4.9,358309,179894
たん旦; Tantan,氷高悠 ; Yuu Hidaka,"Comedy,Romance,School Life", 4708 ,My Plain-looking Fiancee is Secretly Sweet with me,4.9,1111542,137991
None,Nekoko,"Action,Adventure,Comedy,Fantasy,Slice of Life,Supernatural,Isekai,Drama,Suspense", 3639 ,Tensei shitara doragon no tamago datta ~ saikyō igai mezasane ~e ~,4.9,2884095,628000
Azure,Shiraishi Jougi,"Fantasy,One shot,Slice of Life", 77 ,Riviere to inori no kuni,4.4,6125,7026
