artist,author,gernes,heart,name,star,view,words
None,Phantom Of The Moonlit Night,"Action,Adventure,Comedy,Fantasy,Harem,Seinen,Slice of Life", 122 ,Running Away From The Hero! (Remake),5,3685,6986
Shizuma Yoshinori (しずまよしのり),Shuu (秋),"Action,Adventure,Comedy,Fantasy,Harem,Romance,School Life,Adapted to Anime,Adapted to Manga,Magic,Mystery,Shounen,Drama,Web Novel", 6651 ,"Maou Gakuin no Futekigousha ~Shijou Saikyou no Maou no Shiso, Tensei shite Shison tachi no Gakkou e Kayou~",4.8,5976887,636903
Fuumi,Itsuki Mizuho,"Adventure,Comedy,Fantasy,Slice of Life,Supernatural", 130 ,The Novice Alchemist's Store,5,7528,30539
sime,cadet,"Action,Drama,Fantasy,Romance,School Life,Seinen,Web Novel", 1831 ,"Ori of the Dragon Chain - ""Heart"" in the mind",4.8,357051,85317
Shirotaka,Rifujin na Magonote,"Action,Adventure,Fantasy,Harem,Isekai,Web Novel,Adapted to Anime,Adapted to Drama CD,Adapted to Manga,Comedy,Ecchi,Magic,Mature,Romance,Drama", 7049 ,Mushoku Tensei - Isekai Ittara Honki Dasu,4.9,12102838,1436669
Poko,Takehaya,"Action,Adventure,Comedy,Harem,Mecha,Slice of Life,Fantasy,Romance,Science Fiction,Supernatural,Mystery,School Life,Super Power,Magic,Adapted to Anime,Adapted to Drama CD,Adapted to Manga", 2661 ,Rokujouma no Shinryakusha!?,4.9,2105160,2324415
crescendo,살오른 곱등이,"Korean Novel,Magic,Reverse Harem,Romance,School Life,Shoujo,Web Novel", 599 ,Tôi Không Muốn Làm Bà Mối,4.9,358402,179894
たん旦; Tantan,氷高悠 ; Yuu Hidaka,"Comedy,Romance,School Life", 4708 ,My Plain-looking Fiancee is Secretly Sweet with me,4.9,1111762,137991
None,Nekoko,"Action,Adventure,Comedy,Fantasy,Slice of Life,Supernatural,Isekai,Drama,Suspense", 3639 ,Tensei shitara doragon no tamago datta ~ saikyō igai mezasane ~e ~,4.9,2884211,628000
Macchi | 마끼,이윤아,"Drama,Fantasy,Josei,Korean Novel,Mature,Romance", 51 ,Lời Cầu Hôn Của Bạo Chúa,4.6,10309,43480
Azure,Shiraishi Jougi,"Fantasy,One shot,Slice of Life", 77 ,Riviere to inori no kuni,4.4,6147,7026
Naenae,Sangatsu Midori,"Comedy,Ecchi,Harem,Romance,School Life,Shounen", 1142 ,Love Comedy no Kami-sama na no ni Ore no Love Comedy wo Jama suru no?,4.9,90086,45465
Moran,리샤,"Adventure,Comedy,Fantasy,Korean Novel,Psychological,Romance,Shoujo,Web Novel", 209 ,The baby raising a devil,4.9,33172,48322
None,Shinsyong,"Action,Adventure,Fantasy,Game,Korean Novel,Shounen,Supernatural,Web Novel", 572 ,Góc nhìn của Độc giả Toàn tri,5,121952,358050
Gin,Nahuse,"Action,Adventure,Fantasy,Mecha,Mystery,Science Fiction,Seinen,Supernatural", 340 ,Rebuild World,4.9,25663,83592
None,Suzuki Osamu,"One shot,Romance,Slice of Life,Tragedy", 16 ,Nếu Như Ta Có Thể Vẽ Nên Được Sinh Mệnh,4.2,1270,6790
지나가던 사람,랏슈,"Drama,Fantasy,Korean Novel,Romance,Shoujo,Slice of Life,Web Novel", 241 ,Khi đứa con gái hoang của Bá tước kết hôn,4.8,34577,55300
료,박미나,"Comedy,Korean Novel,Romance,Shoujo,Web Novel", 8 ,"Đến đây, bạo chúa",5,1319,2555
Yappen,Makishima Suzuki,"Action,Adventure,Comedy,Fantasy,Slice of Life,Adapted to Manga,Supernatural", 346 ,"Welcome to Japan, Elf-san!",5,25869,112552
Konomi,Kuou Haruki,"Comedy,Game,School Life,Psychological,Romance,Science Fiction", 2278 ,Liar Liar,4.9,585565,458503
Ryutetsu,Anikki Burazza,"Action,Adventure,Comedy,Fantasy,Harem,Martial Arts,Romance,School Life,Shounen", 4477 ,Breakthrough with the Forbidden Master,4.9,3169526,398108
Takamine Nadare,Mishima Yomu,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Magic,Mecha,Military,Science Fiction,Shounen,Super Power,Web Novel,Adapted to Manga", 3230 ,Ta là chúa tể độc ác của Đế Quốc liên thiên hà!,4.9,955184,336981
Fuumi,Togai Aoi,"Comedy,Romance,School Life", 3063 ,100 điều em không biết về senpai,4.9,445775,127631
Kagawa Ichigo,Takamine Kakeru,"Comedy,Romance,School Life,Slice of Life", 716 ,Cách để khiến trái tim của Nữ Hoàng Băng Giá tan chảy,5,22950,29037
Poligon,Kurashiki Kon,"Comedy,Ecchi,Romance", 788 ,"Futokou no Osananajimi ga Gakkou ni Iku Jouken wa, Mainichi Ore to Kiss Suru Kotodatta",4.9,23345,12650
