artist,author,gernes,heart,name,star,view,words
None,Phantom Of The Moonlit Night,"Action,Adventure,Comedy,Fantasy,Harem,Seinen,Slice of Life", 132 ,Running Away From The Hero! (Remake),5,4071,6986
Shizuma Yoshinori (しずまよしのり),Shuu (秋),"Action,Adventure,Comedy,Fantasy,Harem,Romance,School Life,Adapted to Anime,Adapted to Manga,Magic,Mystery,Shounen,Drama,Web Novel", 6651 ,"Maou Gakuin no Futekigousha ~Shijou Saikyou no Maou no Shiso, Tensei shite Shison tachi no Gakkou e Kayou~",4.8,5978437,636903
Fuumi,Itsuki Mizuho,"Adventure,Comedy,Fantasy,Slice of Life,Supernatural", 130 ,The Novice Alchemist's Store,5,7644,30539
Macchi | 마끼,이윤아,"Drama,Fantasy,Josei,Korean Novel,Mature,Romance", 51 ,Lời Cầu Hôn Của Bạo Chúa,4.6,10419,43480
sime,cadet,"Action,Drama,Fantasy,Romance,School Life,Seinen,Web Novel", 1832 ,"Ori of the Dragon Chain - ""Heart"" in the mind",4.8,358243,85317
Shirotaka,Rifujin na Magonote,"Action,Adventure,Fantasy,Harem,Isekai,Web Novel,Adapted to Anime,Adapted to Drama CD,Adapted to Manga,Comedy,Ecchi,Magic,Mature,Romance,Drama", 7051 ,Mushoku Tensei - Isekai Ittara Honki Dasu,4.9,12107698,1436669
Poko,Takehaya,"Action,Adventure,Comedy,Harem,Mecha,Slice of Life,Fantasy,Romance,Science Fiction,Supernatural,Mystery,School Life,Super Power,Magic,Adapted to Anime,Adapted to Drama CD,Adapted to Manga", 2664 ,Rokujouma no Shinryakusha!?,4.9,2105928,2324415
Moran,리샤,"Adventure,Comedy,Fantasy,Korean Novel,Psychological,Romance,Shoujo,Web Novel", 209 ,The baby raising a devil,4.9,33291,48322
Ryutetsu,Anikki Burazza,"Action,Adventure,Comedy,Fantasy,Harem,Martial Arts,Romance,School Life,Shounen", 4479 ,Breakthrough with the Forbidden Master,4.9,3170603,398108
None,Nekoko,"Action,Adventure,Comedy,Fantasy,Slice of Life,Supernatural,Isekai,Drama,Suspense", 3639 ,Tensei shitara doragon no tamago datta ~ saikyō igai mezasane ~e ~,4.9,2884910,628000
crescendo,살오른 곱등이,"Korean Novel,Magic,Reverse Harem,Romance,School Life,Shoujo,Web Novel", 598 ,Tôi Không Muốn Làm Bà Mối,4.9,358950,179894
たん旦; Tantan,氷高悠 ; Yuu Hidaka,"Comedy,Romance,School Life", 4710 ,My Plain-looking Fiancee is Secretly Sweet with me,4.9,1113046,137991
Azure,Shiraishi Jougi,"Fantasy,One shot,Slice of Life", 79 ,Riviere to inori no kuni,4.4,6322,7026
Naenae,Sangatsu Midori,"Comedy,Ecchi,Harem,Romance,School Life,Shounen", 1142 ,Love Comedy no Kami-sama na no ni Ore no Love Comedy wo Jama suru no?,4.9,90383,45465
None,Shinsyong,"Action,Adventure,Fantasy,Game,Korean Novel,Shounen,Supernatural,Web Novel", 572 ,Góc nhìn của Độc giả Toàn tri,5,122164,358050
Gin,Nahuse,"Action,Adventure,Fantasy,Mecha,Mystery,Science Fiction,Seinen,Supernatural", 340 ,Rebuild World,4.9,25740,83592
None,Suzuki Osamu,"One shot,Romance,Slice of Life,Tragedy", 19 ,Nếu Như Ta Có Thể Vẽ Nên Được Sinh Mệnh,4.2,1376,6790
지나가던 사람,랏슈,"Drama,Fantasy,Korean Novel,Romance,Shoujo,Slice of Life,Web Novel", 241 ,Khi đứa con gái hoang của Bá tước kết hôn,4.8,34656,55300
료,박미나,"Comedy,Korean Novel,Romance,Shoujo,Web Novel", 8 ,"Đến đây, bạo chúa",5,1348,2555
Yappen,Makishima Suzuki,"Action,Adventure,Comedy,Fantasy,Slice of Life,Adapted to Manga,Supernatural", 347 ,"Welcome to Japan, Elf-san!",5,25947,112753
Konomi,Kuou Haruki,"Comedy,Game,School Life,Psychological,Romance,Science Fiction", 2280 ,Liar Liar,4.9,586011,458503
Takamine Nadare,Mishima Yomu,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Magic,Mecha,Military,Science Fiction,Shounen,Super Power,Web Novel,Adapted to Manga", 3233 ,Ta là chúa tể độc ác của Đế Quốc liên thiên hà!,4.9,956546,336981
Fuumi,Togai Aoi,"Comedy,Romance,School Life", 3068 ,100 điều em không biết về senpai,4.9,446020,127631
Kagawa Ichigo,Takamine Kakeru,"Comedy,Romance,School Life,Slice of Life", 719 ,Cách để khiến trái tim của Nữ Hoàng Băng Giá tan chảy,5,23092,29037
Poligon,Kurashiki Kon,"Comedy,Ecchi,Romance", 787 ,"Futokou no Osananajimi ga Gakkou ni Iku Jouken wa, Mainichi Ore to Kiss Suru Kotodatta",4.9,23476,12650
Shiina You,Kazuki Miya,"Fantasy,Isekai,Slice of Life,Adventure,Drama,Historical,Adapted to Anime,Adapted to Manga", 475 ,Honzuki no Gekokujou,4.8,205332,266357
Yukimaru,Sasaki Kazu,"Comedy,Ecchi,Harem,Mature,Romance,School Life,Web Novel,Adult", 1601 ,"Xin lỗi vì nẫng tay trên trước, nhưng tôi quyết định sẽ tận hưởng cuộc sống thật dâm đãng",4.9,306470,67770
Tomari,Mikawa Ghost,"Adapted to Manga,Comedy,Drama,Harem,Romance,School Life,Slice of Life", 183 ,Nhỏ em thằng bạn chỉ phiền toái với mình tôi,5,2595,4533
Chisato Naruse,Tsuyoshi Fujitaka,"Action,Adventure,Comedy,Ecchi,Fantasy,Isekai,Romance,Shounen", 66 ,"Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga (LN)",5,1908,16460
マッパニナッタ - Mappa ni Natta,くさもち - Kusamochi,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Martial Arts,Romance,Shounen,Web Novel", 684 ,"Power Harassment Seijo no Osananajimi to Zetsuen Shitara, Nanimokamo ga Umaku Iku You ni Natte Saikyou no Bouken-sha ni Natta ~ Tsuideni Yasashikute Kawaii Yome mo Takusan Dekita ~",4.9,33211,15364
Kaga Chisaku,Nyouro Kesseki,"Comedy,Romance,School Life", 1141 ,"Nhỏ Gyaru lẽ ra tỏ tình với người u ám như tôi chỉ vì trò chơi trừng phạt, nhưng dù có nhìn kiểu gì thì cổ cũng yêu tôi mà!",4.9,37363,17730
